UserID,Age,Sex,Pref
ViTjorakwVY52LrfIovZ,43,F,鹿児島県
0agCZ1YsKERJXkPB2yZ0,44,M,兵庫県
8weI5T5bvvc6kuiXdAtW,61,M,千葉県
UidBKagUPpaArTuUvhhO,31,M,山梨県
cP2t9Q4gAQFTVPCkyG6b,45,F,佐賀県
mfskqiwLPlY4cbYn33Hf,58,M,愛知県
uuWlHtJ4oj4jG3zeyVmp,49,M,沖縄県
TkR8vFMag36ANtn2Ay3q,63,F,栃木県
HPf8wVEhnfo74Yjs4ERn,48,F,宮崎県
6Rv8V4fiBC0OHWAU4P7t,60,F,山口県
4umHzxvnAlby9tqga7Zz,25,M,高知県
l44NImhcDL3LLQpwdevG,23,M,宮城県
9qE8U8Qts121u7wJ289w,48,M,沖縄県
vVtACpdgmyZ0v1tUp0Pv,20,M,広島県
b9BdMQBkzdUvyAT8yb0A,63,M,福井県
5uJf049OOe1wSmPUiDSL,49,F,奈良県
QMqAGJRThZk82duk65Qa,34,F,滋賀県
jt7ONoHZmN4gNkNThkFi,44,M,北海道
0vb3HF3lvJCv3z2VnMNI,51,M,鹿児島県
r5vcItANYxEolWvXRXZJ,53,M,埼玉県
rO8f2ufyWriN42WaWTeJ,19,F,東京都
2WqbRl94kP4Uq61Xa6bi,18,F,富山県
nWAPpbnqAycbQEP7P8aN,18,F,神奈川県
a3xzYaL1ntmF1khVYVtc,27,M,埼玉県
3QsNPlmeuXilHp797lfG,24,F,静岡県
VtLIvCzjE2f2yjTDBwt6,54,M,高知県
JKC5abKziobltt3ifwCO,59,F,福井県
Z1C4MfHdyeCIRF7GKLiJ,65,M,佐賀県
G0MmqqpDu0DichNMzbXQ,51,M,青森県
787eZVMHse5s3xjzwlZ1,47,F,兵庫県
8aQ00jCyExRma1B51YD5,43,F,滋賀県
Gvc8wyUap5RuIR4X4myP,37,M,大分県
JYSHvdmNOwVMpHO7gUvz,51,F,岡山県
qs9f6UWGUFEKWq7AZ7rG,19,F,三重県
D9hteztN0MvdwSVmLydC,19,F,新潟県
bYeCvfL2ZcJnK3BfRuEr,55,M,千葉県
M4CfuIbi3pImZrdKdm7r,56,M,栃木県
rWvCiUOpfwUrGdKxerOj,54,M,奈良県
po63H3m8KfIS7UMaNTAa,45,F,和歌山県
kC2ENoAMyOdUTtSjc8LQ,19,F,福島県
4prYGWyzBWAmyUa3Bwg3,57,F,徳島県
yycIkWDxhZQyDawHZSAw,33,F,宮崎県
VGLNMYTbdH4wUGJf6OIf,55,M,鳥取県
6KsE91CKA88e2LouwWx2,38,F,大分県
HpA7RdjPLP1XqlVirifh,56,M,宮崎県
GpHh0CrpAjnoBuapQCaZ,40,M,滋賀県
gq6VSZ0SNildwjWr5zFA,58,F,静岡県
vydtkcG7B1CQyfSkgUA8,25,M,福岡県
P9tb6xUSNPxuj06EKjro,41,M,山形県
7TjKL1abwi1nCA51XSJP,40,F,群馬県
MhoZgf11P2f1QS4tUc5q,62,M,兵庫県
ei4xnz4YC8w2a8D41tTC,33,F,山梨県
vVR6L5mCCPBvM8XivffQ,22,M,奈良県
MOcRmIYboQcKQXPGW6OT,60,F,香川県
GPoalqzp92Om9KnpPyJn,20,M,岩手県
x7YdVI1Xs7WQSYR0o2cd,37,M,島根県
fSGfKN8Y0bKhXQ3wWYn9,31,F,東京都
i3XbJF8mdpk1Kc2XbyzK,53,M,群馬県
UGPgUUGE84irCcDW53F5,43,M,宮崎県
vRgYH5976wRLGV6tMRFa,51,F,愛知県
rTGHmKUlJZr9rUJftm7k,50,M,長崎県
FuZbir7KxyMyaaD2GnBf,35,M,埼玉県
W4rakjvsgTE6FcYMAMsf,61,F,滋賀県
PVUBIsFD5dQi4SAYAGpL,30,F,大分県
zeZjQT2DjgFzkbvYKKT3,64,F,岡山県
06EQUczwjgWyTWsor7rB,28,M,兵庫県
FSWcOLUNGzc9Ys9XhaBZ,27,M,山口県
fc54ypH2rFbwZ6UyQRF6,18,F,青森県
wo3dcYiEeogvjYeTeGe0,51,F,福井県
a2wP8S67roo3qY7VjLjG,20,F,高知県
N0Ja4rucSDwOMSbpeMbm,61,M,鹿児島県
00AUvTtkQ1yhuZ9gwpYY,18,F,福井県
2rwaNN6eXeZ7hTqxwY6C,56,F,富山県
tJldaNsW6etAmLVB8mo5,19,M,愛知県
h1IGCGlGevSM6I3shKBq,47,M,山形県
FCHcvpUNFEqFCevv4LM2,19,M,富山県
XSvq0CbWq4vPImjvqo1a,64,F,岩手県
TJteWXrKN4JgZu75xCM1,47,F,東京都
A6tuyBu15erJUHPTR38p,23,M,青森県
w8VRowjLtkrnpWmaIQ2q,25,F,福井県
6LBwbXEW22JEJeiJ4LL1,44,F,奈良県
THO15wsK86xzqXcnLoAi,48,F,秋田県
lr0QiGUm2doAsfGl1tRM,47,F,和歌山県
ySf3Peen0uDr1qiXpM7X,38,F,秋田県
0c3308QVf3sez8bo7kKk,20,M,宮崎県
YBpL7tWW27Eqq42DE5ue,57,M,島根県
zyNhI5du8TMwTNMARkeB,32,M,神奈川県
57tdB021Q7MefMIrFeQ4,33,F,埼玉県
yDfPA2Y6mpeM9GUQN8aW,22,F,奈良県
poaIICI4YbvmrU4ld5Wn,18,M,熊本県
9ntZvTK44qaZxSfNhqss,42,M,富山県
eSQ2Q0750F2emYNFWyq7,19,F,青森県
IDh3KB9EFlKd5tbIu0k4,29,F,大阪府
M1xypS3igeVWedyNYrSm,54,M,島根県
UIgif4pJmGXF6lvdtW38,23,M,宮崎県
SZKn6QDx1SwCr1cLCcXS,42,M,滋賀県
fFBm548ud38TgMgKkpEU,38,F,鳥取県
0aDtmoX8iXgqbHxyj0cm,19,F,香川県
tdwami5BzOlN6kx2uXpv,32,M,島根県
Fk9EOPPjpLKscDAI3HOk,21,M,静岡県
asfe2HeIAhTWAT6aLqOm,41,F,秋田県
syaeqz3ncGEfgSPyD3ga,22,M,長崎県
ggjBmBCpvEzGdPF4LtQu,25,M,愛知県
gaU2XRcNITerzLjRf4e5,37,F,山形県
bLsmuMbl7d6IEy4HUGjf,63,M,和歌山県
1LViKNCvGeuCr55ZTSWc,40,M,東京都
1bR5weg24lWFfWiS6ZQT,46,M,東京都
X4KozpCqR7wlLW4w0DOL,63,F,栃木県
hpFBhoaGdcM2dTRVVT0L,63,F,熊本県
kDhtpjhFyWYW0nW8UdpI,56,F,茨城県
foRoKJd361Fp9cuqZpwp,50,F,宮崎県
FRnyeQWTgSsvPYJXmF4s,50,M,長野県
lrAZSouSCzAqlnlvriav,61,F,茨城県
uRutHmBCuVTXbA0Mr7Vz,47,F,福井県
PTyhYVQR9qUgucln4nId,47,F,長野県
gnO56s57l4dW88iKT6Fe,55,M,栃木県
X5ZjOG4heswCEsXiMBA7,65,M,宮崎県
3jww4C3EqwJSc3wuYTXc,28,M,青森県
xUaVwfYTqQFlD7SAN9WJ,63,F,佐賀県
q4Z0jRbP5Pj4rxjXYqhU,36,F,愛知県
vxFTqZPteSUA6rNMwYes,59,M,青森県
